source,section,rank,headline,link,collected_at_iso
Times of India,most_read,1,Kerala doctor stabbed 27 times with scissors by school teacher in hospital; accused sentenced to life 3 years after murder,https://timesofindia.indiatimes.com/articleshow/129715418.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,2,PSL 2026 behind closed doors; Mohsin Naqvi warns of action against players joining IPL,https://timesofindia.indiatimes.com/articleshow/129732142.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,3,‘No option but to strike Mumbai and Delhi’: Ex-Pak envoy to India on ‘worst-case’ US conflict,https://timesofindia.indiatimes.com/articleshow/129729250.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,4,"Uber launches bike taxi services in Kochi, Tvm",https://timesofindia.indiatimes.com/articleshow/129724033.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,5,"PM Modi chairs high-level review meet on fuel, power amid Middle East tensions",https://timesofindia.indiatimes.com/articleshow/129732579.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,6,What a US ground offensive in Iran might look like,https://timesofindia.indiatimes.com/articleshow/129734562.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,7,Russian oil tanker arrives off Mangaluru port amid Middle East tensions,https://timesofindia.indiatimes.com/articleshow/129735050.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,8,"IPL 2026: CSK induct Suresh Raina, Matthew Hayden into first-ever Hall of Fame",https://timesofindia.indiatimes.com/articleshow/129736053.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,9,'Pop a pill and carry on': The workplace silence on India's menstrual leave debate,https://timesofindia.indiatimes.com/articleshow/129730849.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,10,"When a 12-year-old starts dating, what are parents supposed to do?",https://timesofindia.indiatimes.com/articleshow/129733108.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,11,Here's why FedEx executives held 'speed dating rounds' in Silicon Valley,https://timesofindia.indiatimes.com/articleshow/129724702.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,12,"Koneru Humpy withdraws from Women’s Candidates, cites safety concerns",https://timesofindia.indiatimes.com/articleshow/129736372.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,13,Watch: Iran claims it struck 'enemy' F-15 fighter jet intercepted near Hormuz Island,https://timesofindia.indiatimes.com/articleshow/129732653.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,14,Jeff Bezos' ex-wife makes another 'record-setting gift,https://timesofindia.indiatimes.com/articleshow/129729488.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,15,"'Dhurandhar 2' BO Day 4 eyes Rs 400 cr India, Rs 500 cr+ worldwide collection",https://timesofindia.indiatimes.com/articleshow/129729768.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,16,"Pathan explains ‘identification of talent’ as reason why DC, PBKS haven’t won IPL yet",https://timesofindia.indiatimes.com/articleshow/129734853.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,17,Will Trump's 48-hour ultimatum to Iran leave him red-faced again?,https://timesofindia.indiatimes.com/articleshow/129734531.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,18,Watch: Missile strike rocks Israel’s ‘Little India’ as Iran attack injures over 40; videos show chaos,https://timesofindia.indiatimes.com/articleshow/129727601.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,19,"‘Dhurandhar: The Revenge’ box office collection day 3: Ranveer Singh, Rakesh Bedi's film crosses the Rs 500 crore mark",https://timesofindia.indiatimes.com/articleshow/129727042.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,20,'Glad he’s dead': Donald Trump on ex-FBI chief Robert Mueller's death,https://timesofindia.indiatimes.com/articleshow/129723612.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,21,"'Did not initiate war': In call with PM Modi, Iran President Pezeshkian calls on India-chaired Brics to play role in halting aggressions",https://timesofindia.indiatimes.com/articleshow/129721126.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,22,Iran’s 21-day assault: Full list of US military losses and damage,https://timesofindia.indiatimes.com/articleshow/129721687.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,23,"It was a journey towards acceptance, says mother raising children with autism",https://timesofindia.indiatimes.com/articleshow/129721769.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,24,"100+ days, not a single H-1B slot: Indian-American community asks USCIS to stop using Indians as political tool",https://timesofindia.indiatimes.com/articleshow/129724449.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,25,"Elon Musk's SpaceX sends letter to FCC, says: Reject Jeff Bezos' Blue Origin application as Amazon has forgotten that it ...",https://timesofindia.indiatimes.com/articleshow/129718093.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,26,Under the sea: How Iran's invisible fleet of 'midget submarines' is turning Strait of Hormuz into danger zone,https://timesofindia.indiatimes.com/articleshow/129728310.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,27,Over 100 injured in Israel amid Iran's missile attack; Netanyahu calls it 'difficult evening in battle for future',https://timesofindia.indiatimes.com/articleshow/129727039.cms,2026-03-22T18:48:26+00:00
Times of India,most_read,28,'I did not ask': Sunil Gavaskar hits back at the criticism of attending Pakistani Show,https://timesofindia.indiatimes.com/articleshow/129721291.cms,2026-03-22T18:48:26+00:00
