source,section,rank,headline,link,collected_at_iso
Times of India,most_read,1,Celina Jaitly reacts as Vikrant Jaitly refuses to communicate and chooses to consult wife Charul Jaitly first; court dismisses plea,https://timesofindia.indiatimes.com/articleshow/129613498.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,2,"'It's time to go now, okay?': Harish Rana's emotional farewell with family as AIIMS begins passive euthanasia protocol",https://timesofindia.indiatimes.com/articleshow/129599765.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,3,"'Broom, wiper, belt, kitchen knife used to torture kid? UP man, his 2nd wife held after boy, 4, dies of injuries",https://timesofindia.indiatimes.com/articleshow/129595630.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,4,UP ATS arrests ISIS-linked BDS student for running online radicalisation module,https://timesofindia.indiatimes.com/articleshow/129615193.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,5,"400 killed, 250 wounded in Pakistani airstrikes on Kabul hospital, Taliban claims",https://timesofindia.indiatimes.com/articleshow/129619166.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,6,How SC decided ‘best interest’ for a patient who couldn’t decide himself,https://timesofindia.indiatimes.com/articleshow/129576399.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,7,"After 9-day voyage, India-flagged tanker arrives from Qatar, 2 more to reach today",https://timesofindia.indiatimes.com/articleshow/129621545.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,8,"'I must have made mistakes': Gambhir opens up on Rohit, Kohli equation",https://timesofindia.indiatimes.com/articleshow/129612885.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,9,Bengaluru man beaten to death with cricket bat for refusing hafta; 7 held,https://timesofindia.indiatimes.com/articleshow/129616078.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,10,Another war across Iran’s border that world seems to have forgotten about,https://timesofindia.indiatimes.com/articleshow/129609282.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,11,"VC Bill Gurley on OpenAI, Anthropic: ‘Scary’ how fast these companies burn cash",https://timesofindia.indiatimes.com/articleshow/129618371.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,12,"RS elections: NDA sweeps Bihar, bags three in Odisha; Haryana result put on hold",https://timesofindia.indiatimes.com/articleshow/129616083.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,13,‘Nobody has seen him’: Trump casts doubt on Mojtaba Khamenei’s survival amid Iran war,https://timesofindia.indiatimes.com/articleshow/129621686.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,14,India backs talks with Iran as US seeks naval coalition to secure Hormuz,https://timesofindia.indiatimes.com/articleshow/129618465.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,15,"Nvidia CEO seemingly 'realises' that Google, Microsoft and Meta are set to eat company's lunch",https://timesofindia.indiatimes.com/articleshow/129601418.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,16,Court clears Pawars in MSCB bank scam,https://timesofindia.indiatimes.com/articleshow/129622201.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,17,No cricket talk: MS Dhoni had this advice for CSK's Rs 14.2 crore recruit Prashant Veer,https://timesofindia.indiatimes.com/articleshow/129614092.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,18,"'I'm what?' Israeli PM Benjamin Netanyahu mocks death rumours, shows off five fingers - watch",https://timesofindia.indiatimes.com/articleshow/129591520.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,19,'Fabrication of clips using AI': UAE orders action against 19 Indians over misleading posts amid Iran war,https://timesofindia.indiatimes.com/articleshow/129599460.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,20,'We'll remember': Trump asks 7 countries to send warships to police Strait of Hormuz,https://timesofindia.indiatimes.com/articleshow/129598487.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,21,Major fire breaks out at Dubai International Airport after drone strike; flights suspended — Watch,https://timesofindia.indiatimes.com/articleshow/129598932.cms,2026-03-17T02:41:47+00:00
Times of India,most_read,22,Kharg Island: Trump's mercy shot on Iran's oil lifeline could reshape the war,https://timesofindia.indiatimes.com/articleshow/129591594.cms,2026-03-17T02:41:47+00:00
